|                 Tasks                 |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|  - high_school_us_history             |      1|none  |     0|acc     |↑  |0.2647|±  |0.0310|
|  - high_school_world_history          |      1|none  |     0|acc     |↑  |0.2996|±  |0.0298|
|  - international_law                  |      1|none  |     0|acc     |↑  |0.3967|±  |0.0447|
|  - jurisprudence                      |      1|none  |     0|acc     |↑  |0.2870|±  |0.0437|
|  - logical_fallacies                  |      1|none  |     0|acc     |↑  |0.3252|±  |0.0368|
|  - moral_disputes                     |      1|none  |     0|acc     |↑  |0.2832|±  |0.0243|
|  - moral_scenarios                    |      1|none  |     0|acc     |↑  |0.2313|±  |0.0141|
|  - philosophy                         |      1|none  |     0|acc     |↑  |0.3151|±  |0.0264|
|  - prehistory                         |      1|none  |     0|acc     |↑  |0.3395|±  |0.0263|
|  - professional_law                   |      1|none  |     0|acc     |↑  |0.2718|±  |0.0114|
|  - world_religions                    |      1|none  |     0|acc     |↑  |0.2865|±  |0.0347|
| - other                               |      2|none  |      |acc     |↑  |0.2871|±  |0.0081|
|  - business_ethics                    |      1|none  |     0|acc     |↑  |0.2400|±  |0.0429|
|  - clinical_knowledge                 |      1|none  |     0|acc     |↑  |0.2642|±  |0.0271|
|  - college_medicine                   |      1|none  |     0|acc     |↑  |0.3237|±  |0.0357|
|  - global_facts                       |      1|none  |     0|acc     |↑  |0.3700|±  |0.0485|
|  - human_aging                        |      1|none  |     0|acc     |↑  |0.3229|±  |0.0314|
|  - management                         |      1|none  |     0|acc     |↑  |0.2524|±  |0.0430|
|  - marketing                          |      1|none  |     0|acc     |↑  |0.3077|±  |0.0302|
|  - medical_genetics                   |      1|none  |     0|acc     |↑  |0.2900|±  |0.0456|
|  - miscellaneous                      |      1|none  |     0|acc     |↑  |0.2950|±  |0.0163|
|  - nutrition                          |      1|none  |     0|acc     |↑  |0.2941|±  |0.0261|
|  - professional_accounting            |      1|none  |     0|acc     |↑  |0.2589|±  |0.0261|
|  - professional_medicine              |      1|none  |     0|acc     |↑  |0.2206|±  |0.0252|
|  - virology                           |      1|none  |     0|acc     |↑  |0.3133|±  |0.0361|
| - social sciences                     |      2|none  |      |acc     |↑  |0.2681|±  |0.0080|
|  - econometrics                       |      1|none  |     0|acc     |↑  |0.2281|±  |0.0395|
|  - high_school_geography              |      1|none  |     0|acc     |↑  |0.2828|±  |0.0321|
|  - high_school_government_and_politics|      1|none  |     0|acc     |↑  |0.1969|±  |0.0287|
|  - high_school_macroeconomics         |      1|none  |     0|acc     |↑  |0.2590|±  |0.0222|
|  - high_school_microeconomics         |      1|none  |     0|acc     |↑  |0.2983|±  |0.0297|
|  - high_school_psychology             |      1|none  |     0|acc     |↑  |0.2514|±  |0.0186|
|  - human_sexuality                    |      1|none  |     0|acc     |↑  |0.2519|±  |0.0381|
|  - professional_psychology            |      1|none  |     0|acc     |↑  |0.3023|±  |0.0186|
|  - public_relations                   |      1|none  |     0|acc     |↑  |0.1909|±  |0.0376|
|  - security_studies                   |      1|none  |     0|acc     |↑  |0.2898|±  |0.0290|
|  - sociology                          |      1|none  |     0|acc     |↑  |0.2836|±  |0.0319|
|  - us_foreign_policy                  |      1|none  |     0|acc     |↑  |0.2900|±  |0.0456|
| - stem                                |      2|none  |      |acc     |↑  |0.2848|±  |0.0080|
|  - abstract_algebra                   |      1|none  |     0|acc     |↑  |0.3500|±  |0.0479|
|  - anatomy                            |      1|none  |     0|acc     |↑  |0.2741|±  |0.0385|
|  - astronomy                          |      1|none  |     0|acc     |↑  |0.2697|±  |0.0361|
|  - college_biology                    |      1|none  |     0|acc     |↑  |0.3125|±  |0.0388|
|  - college_chemistry                  |      1|none  |     0|acc     |↑  |0.2700|±  |0.0446|
|  - college_computer_science           |      1|none  |     0|acc     |↑  |0.3700|±  |0.0485|
|  - college_mathematics                |      1|none  |     0|acc     |↑  |0.3100|±  |0.0465|
|  - college_physics                    |      1|none  |     0|acc     |↑  |0.2353|±  |0.0422|
|  - computer_security                  |      1|none  |     0|acc     |↑  |0.2700|±  |0.0446|
|  - conceptual_physics                 |      1|none  |     0|acc     |↑  |0.2766|±  |0.0292|
|  - electrical_engineering             |      1|none  |     0|acc     |↑  |0.2552|±  |0.0363|
|  - elementary_mathematics             |      1|none  |     0|acc     |↑  |0.2460|±  |0.0222|
|  - high_school_biology                |      1|none  |     0|acc     |↑  |0.2871|±  |0.0257|
|  - high_school_chemistry              |      1|none  |     0|acc     |↑  |0.3645|±  |0.0339|
|  - high_school_computer_science       |      1|none  |     0|acc     |↑  |0.2900|±  |0.0456|
|  - high_school_mathematics            |      1|none  |     0|acc     |↑  |0.2519|±  |0.0265|
|  - high_school_physics                |      1|none  |     0|acc     |↑  |0.3179|±  |0.0380|
|  - high_school_statistics             |      1|none  |     0|acc     |↑  |0.2963|±  |0.0311|
|  - machine_learning                   |      1|none  |     0|acc     |↑  |0.2411|±  |0.0406|
|piqa                                   |      1|none  |     0|acc     |↑  |0.7579|±  |0.0100|
|                                       |       |none  |     0|acc_norm|↑  |0.7731|±  |0.0098|
|winogrande                             |      1|none  |     0|acc     |↑  |0.6654|±  |0.0133|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|------|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |↑  |0.2803|±  |0.0038|
| - humanities     |      2|none  |      |acc   |↑  |0.2808|±  |0.0065|
| - other          |      2|none  |      |acc   |↑  |0.2871|±  |0.0081|
| - social sciences|      2|none  |      |acc   |↑  |0.2681|±  |0.0080|
| - stem           |      2|none  |      |acc   |↑  |0.2848|±  |0.0080|

1.5
|                 Tasks                 |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|--------|---|-----:|---|-----:|
|arc_challenge                          |      1|none  |     0|acc     |↑  |0.3848|±  |0.0142|
|                                       |       |none  |     0|acc_norm|↑  |0.4113|±  |0.0144|
|arc_easy                               |      1|none  |     0|acc     |↑  |0.7020|±  |0.0094|
|                                       |       |none  |     0|acc_norm|↑  |0.6465|±  |0.0098|
|boolq                                  |      2|none  |     0|acc     |↑  |0.6945|±  |0.0081|
|hellaswag                              |      1|none  |     0|acc     |↑  |0.5254|±  |0.0050|
|                                       |       |none  |     0|acc_norm|↑  |0.7052|±  |0.0046|
|mmlu                                   |      2|none  |      |acc     |↑  |0.2718|±  |0.0038|
| - humanities                          |      2|none  |      |acc     |↑  |0.2729|±  |0.0065|
|  - formal_logic                       |      1|none  |     0|acc     |↑  |0.2698|±  |0.0397|
|  - high_school_european_history       |      1|none  |     0|acc     |↑  |0.3152|±  |0.0363|
|  - high_school_us_history             |      1|none  |     0|acc     |↑  |0.2598|±  |0.0308|
|  - high_school_world_history          |      1|none  |     0|acc     |↑  |0.2954|±  |0.0297|
|  - international_law                  |      1|none  |     0|acc     |↑  |0.3636|±  |0.0439|
|  - jurisprudence                      |      1|none  |     0|acc     |↑  |0.2778|±  |0.0433|
|  - logical_fallacies                  |      1|none  |     0|acc     |↑  |0.2761|±  |0.0351|
|  - moral_disputes                     |      1|none  |     0|acc     |↑  |0.2832|±  |0.0243|
|  - moral_scenarios                    |      1|none  |     0|acc     |↑  |0.2246|±  |0.0140|
|  - philosophy                         |      1|none  |     0|acc     |↑  |0.3215|±  |0.0265|
|  - prehistory                         |      1|none  |     0|acc     |↑  |0.3148|±  |0.0258|
|  - professional_law                   |      1|none  |     0|acc     |↑  |0.2653|±  |0.0113|
|  - world_religions                    |      1|none  |     0|acc     |↑  |0.2807|±  |0.0345|
| - other                               |      2|none  |      |acc     |↑  |0.2790|±  |0.0080|
|  - business_ethics                    |      1|none  |     0|acc     |↑  |0.2500|±  |0.0435|
|  - clinical_knowledge                 |      1|none  |     0|acc     |↑  |0.2340|±  |0.0261|
|  - college_medicine                   |      1|none  |     0|acc     |↑  |0.2948|±  |0.0348|
|  - global_facts                       |      1|none  |     0|acc     |↑  |0.3500|±  |0.0479|
|  - human_aging                        |      1|none  |     0|acc     |↑  |0.2915|±  |0.0305|
|  - management                         |      1|none  |     0|acc     |↑  |0.2330|±  |0.0419|
|  - marketing                          |      1|none  |     0|acc     |↑  |0.2821|±  |0.0295|
|  - medical_genetics                   |      1|none  |     0|acc     |↑  |0.2800|±  |0.0451|
|  - miscellaneous                      |      1|none  |     0|acc     |↑  |0.2950|±  |0.0163|
|  - nutrition                          |      1|none  |     0|acc     |↑  |0.3039|±  |0.0263|
|  - professional_accounting            |      1|none  |     0|acc     |↑  |0.2766|±  |0.0267|
|  - professional_medicine              |      1|none  |     0|acc     |↑  |0.2096|±  |0.0247|
|  - virology                           |      1|none  |     0|acc     |↑  |0.3133|±  |0.0361|
| - social sciences                     |      2|none  |      |acc     |↑  |0.2515|±  |0.0078|
|  - econometrics                       |      1|none  |     0|acc     |↑  |0.2281|±  |0.0395|
|  - high_school_geography              |      1|none  |     0|acc     |↑  |0.2424|±  |0.0305|
|  - high_school_government_and_politics|      1|none  |     0|acc     |↑  |0.1969|±  |0.0287|
|  - high_school_macroeconomics         |      1|none  |     0|acc     |↑  |0.2513|±  |0.0220|
|  - high_school_microeconomics         |      1|none  |     0|acc     |↑  |0.2731|±  |0.0289|
|  - high_school_psychology             |      1|none  |     0|acc     |↑  |0.2440|±  |0.0184|
|  - human_sexuality                    |      1|none  |     0|acc     |↑  |0.2595|±  |0.0384|
|  - professional_psychology            |      1|none  |     0|acc     |↑  |0.2647|±  |0.0178|
|  - public_relations                   |      1|none  |     0|acc     |↑  |0.2000|±  |0.0383|
|  - security_studies                   |      1|none  |     0|acc     |↑  |0.2490|±  |0.0277|
|  - sociology                          |      1|none  |     0|acc     |↑  |0.2985|±  |0.0324|
|  - us_foreign_policy                  |      1|none  |     0|acc     |↑  |0.2700|±  |0.0446|
| - stem                                |      2|none  |      |acc     |↑  |0.2829|±  |0.0080|
|  - abstract_algebra                   |      1|none  |     0|acc     |↑  |0.2800|±  |0.0451|
|  - anatomy                            |      1|none  |     0|acc     |↑  |0.3185|±  |0.0402|
|  - astronomy                          |      1|none  |     0|acc     |↑  |0.2829|±  |0.0367|
|  - college_biology                    |      1|none  |     0|acc     |↑  |0.2778|±  |0.0375|
|  - college_chemistry                  |      1|none  |     0|acc     |↑  |0.3200|±  |0.0469|
|  - college_computer_science           |      1|none  |     0|acc     |↑  |0.3400|±  |0.0476|
|  - college_mathematics                |      1|none  |     0|acc     |↑  |0.3100|±  |0.0465|
|  - college_physics                    |      1|none  |     0|acc     |↑  |0.2451|±  |0.0428|
|  - computer_security                  |      1|none  |     0|acc     |↑  |0.3100|±  |0.0465|
|  - conceptual_physics                 |      1|none  |     0|acc     |↑  |0.2936|±  |0.0298|
|  - electrical_engineering             |      1|none  |     0|acc     |↑  |0.2345|±  |0.0353|
|  - elementary_mathematics             |      1|none  |     0|acc     |↑  |0.2540|±  |0.0224|
|  - high_school_biology                |      1|none  |     0|acc     |↑  |0.2645|±  |0.0251|
|  - high_school_chemistry              |      1|none  |     0|acc     |↑  |0.3448|±  |0.0334|
|  - high_school_computer_science       |      1|none  |     0|acc     |↑  |0.3000|±  |0.0461|
|  - high_school_mathematics            |      1|none  |     0|acc     |↑  |0.2556|±  |0.0266|
|  - high_school_physics                |      1|none  |     0|acc     |↑  |0.3113|±  |0.0378|
|  - high_school_statistics             |      1|none  |     0|acc     |↑  |0.3056|±  |0.0314|
|  - machine_learning                   |      1|none  |     0|acc     |↑  |0.1964|±  |0.0377|
|piqa                                   |      1|none  |     0|acc     |↑  |0.7563|±  |0.0100|
|                                       |       |none  |     0|acc_norm|↑  |0.7726|±  |0.0098|
|winogrande                             |      1|none  |     0|acc     |↑  |0.6661|±  |0.0133|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|------|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |↑  |0.2718|±  |0.0038|
| - humanities     |      2|none  |      |acc   |↑  |0.2729|±  |0.0065|
| - other          |      2|none  |      |acc   |↑  |0.2790|±  |0.0080|
| - social sciences|      2|none  |      |acc   |↑  |0.2515|±  |0.0078|
| - stem           |      2|none  |      |acc   |↑  |0.2829|±  |0.0080|

0.5

|                 Tasks                 |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|--------|---|-----:|---|-----:|
|arc_challenge                          |      1|none  |     0|acc     |↑  |0.3840|±  |0.0142|
|                                       |       |none  |     0|acc_norm|↑  |0.4138|±  |0.0144|
|arc_easy                               |      1|none  |     0|acc     |↑  |0.7003|±  |0.0094|
|                                       |       |none  |     0|acc_norm|↑  |0.6477|±  |0.0098|
|boolq                                  |      2|none  |     0|acc     |↑  |0.7156|±  |0.0079|
|hellaswag                              |      1|none  |     0|acc     |↑  |0.5264|±  |0.0050|
|                                       |       |none  |     0|acc_norm|↑  |0.7072|±  |0.0045|
|mmlu                                   |      2|none  |      |acc     |↑  |0.2777|±  |0.0038|
| - humanities                          |      2|none  |      |acc     |↑  |0.2755|±  |0.0065|
|  - formal_logic                       |      1|none  |     0|acc     |↑  |0.3016|±  |0.0410|
|  - high_school_european_history       |      1|none  |     0|acc     |↑  |0.3273|±  |0.0366|
|  - high_school_us_history             |      1|none  |     0|acc     |↑  |0.2500|±  |0.0304|
|  - high_school_world_history          |      1|none  |     0|acc     |↑  |0.2996|±  |0.0298|
|  - international_law                  |      1|none  |     0|acc     |↑  |0.3554|±  |0.0437|
|  - jurisprudence                      |      1|none  |     0|acc     |↑  |0.2778|±  |0.0433|
|  - logical_fallacies                  |      1|none  |     0|acc     |↑  |0.2822|±  |0.0354|
|  - moral_disputes                     |      1|none  |     0|acc     |↑  |0.2746|±  |0.0240|
|  - moral_scenarios                    |      1|none  |     0|acc     |↑  |0.2335|±  |0.0141|
|  - philosophy                         |      1|none  |     0|acc     |↑  |0.2797|±  |0.0255|
|  - prehistory                         |      1|none  |     0|acc     |↑  |0.2901|±  |0.0253|
|  - professional_law                   |      1|none  |     0|acc     |↑  |0.2790|±  |0.0115|
|  - world_religions                    |      1|none  |     0|acc     |↑  |0.2924|±  |0.0349|
| - other                               |      2|none  |      |acc     |↑  |0.2877|±  |0.0081|
|  - business_ethics                    |      1|none  |     0|acc     |↑  |0.2300|±  |0.0423|
|  - clinical_knowledge                 |      1|none  |     0|acc     |↑  |0.2868|±  |0.0278|
|  - college_medicine                   |      1|none  |     0|acc     |↑  |0.3064|±  |0.0351|
|  - global_facts                       |      1|none  |     0|acc     |↑  |0.3700|±  |0.0485|
|  - human_aging                        |      1|none  |     0|acc     |↑  |0.2466|±  |0.0289|
|  - management                         |      1|none  |     0|acc     |↑  |0.2427|±  |0.0425|
|  - marketing                          |      1|none  |     0|acc     |↑  |0.3034|±  |0.0301|
|  - medical_genetics                   |      1|none  |     0|acc     |↑  |0.2700|±  |0.0446|
|  - miscellaneous                      |      1|none  |     0|acc     |↑  |0.3167|±  |0.0166|
|  - nutrition                          |      1|none  |     0|acc     |↑  |0.3203|±  |0.0267|
|  - professional_accounting            |      1|none  |     0|acc     |↑  |0.2447|±  |0.0256|
|  - professional_medicine              |      1|none  |     0|acc     |↑  |0.2279|±  |0.0255|
|  - virology                           |      1|none  |     0|acc     |↑  |0.3012|±  |0.0357|
| - social sciences                     |      2|none  |      |acc     |↑  |0.2740|±  |0.0080|
|  - econometrics                       |      1|none  |     0|acc     |↑  |0.2105|±  |0.0384|
|  - high_school_geography              |      1|none  |     0|acc     |↑  |0.2828|±  |0.0321|
|  - high_school_government_and_politics|      1|none  |     0|acc     |↑  |0.2073|±  |0.0293|
|  - high_school_macroeconomics         |      1|none  |     0|acc     |↑  |0.2769|±  |0.0227|
|  - high_school_microeconomics         |      1|none  |     0|acc     |↑  |0.3235|±  |0.0304|
|  - high_school_psychology             |      1|none  |     0|acc     |↑  |0.2624|±  |0.0189|
|  - human_sexuality                    |      1|none  |     0|acc     |↑  |0.2672|±  |0.0388|
|  - professional_psychology            |      1|none  |     0|acc     |↑  |0.2794|±  |0.0182|
|  - public_relations                   |      1|none  |     0|acc     |↑  |0.2273|±  |0.0401|
|  - security_studies                   |      1|none  |     0|acc     |↑  |0.2776|±  |0.0287|
|  - sociology                          |      1|none  |     0|acc     |↑  |0.3333|±  |0.0333|
|  - us_foreign_policy                  |      1|none  |     0|acc     |↑  |0.2900|±  |0.0456|
| - stem                                |      2|none  |      |acc     |↑  |0.2750|±  |0.0079|
|  - abstract_algebra                   |      1|none  |     0|acc     |↑  |0.2800|±  |0.0451|
|  - anatomy                            |      1|none  |     0|acc     |↑  |0.2444|±  |0.0371|
|  - astronomy                          |      1|none  |     0|acc     |↑  |0.2697|±  |0.0361|
|  - college_biology                    |      1|none  |     0|acc     |↑  |0.3056|±  |0.0385|
|  - college_chemistry                  |      1|none  |     0|acc     |↑  |0.3200|±  |0.0469|
|  - college_computer_science           |      1|none  |     0|acc     |↑  |0.2900|±  |0.0456|
|  - college_mathematics                |      1|none  |     0|acc     |↑  |0.3200|±  |0.0469|
|  - college_physics                    |      1|none  |     0|acc     |↑  |0.2549|±  |0.0434|
|  - computer_security                  |      1|none  |     0|acc     |↑  |0.3000|±  |0.0461|
|  - conceptual_physics                 |      1|none  |     0|acc     |↑  |0.2681|±  |0.0290|
|  - electrical_engineering             |      1|none  |     0|acc     |↑  |0.2345|±  |0.0353|
|  - elementary_mathematics             |      1|none  |     0|acc     |↑  |0.2354|±  |0.0219|
|  - high_school_biology                |      1|none  |     0|acc     |↑  |0.2581|±  |0.0249|
|  - high_school_chemistry              |      1|none  |     0|acc     |↑  |0.3350|±  |0.0332|
|  - high_school_computer_science       |      1|none  |     0|acc     |↑  |0.3100|±  |0.0465|
|  - high_school_mathematics            |      1|none  |     0|acc     |↑  |0.2481|±  |0.0263|
|  - high_school_physics                |      1|none  |     0|acc     |↑  |0.3311|±  |0.0384|
|  - high_school_statistics             |      1|none  |     0|acc     |↑  |0.3102|±  |0.0315|
|  - machine_learning                   |      1|none  |     0|acc     |↑  |0.2054|±  |0.0383|
|piqa                                   |      1|none  |     0|acc     |↑  |0.7584|±  |0.0100|
|                                       |       |none  |     0|acc_norm|↑  |0.7753|±  |0.0097|
|winogrande                             |      1|none  |     0|acc     |↑  |0.6701|±  |0.0132|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|------|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |↑  |0.2777|±  |0.0038|
| - humanities     |      2|none  |      |acc   |↑  |0.2755|±  |0.0065|
| - other          |      2|none  |      |acc   |↑  |0.2877|±  |0.0081|
| - social sciences|      2|none  |      |acc   |↑  |0.2740|±  |0.0080|
| - stem           |      2|none  |      |acc   |↑  |0.2750|±  |0.0079|



0.1
|                 Tasks                 |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|---------------------------------------|------:|------|-----:|--------|---|-----:|---|-----:|
|arc_challenge                          |      1|none  |     0|acc     |↑  |0.3882|±  |0.0142|
|                                       |       |none  |     0|acc_norm|↑  |0.4206|±  |0.0144|
|arc_easy                               |      1|none  |     0|acc     |↑  |0.7062|±  |0.0093|
|                                       |       |none  |     0|acc_norm|↑  |0.6646|±  |0.0097|
|boolq                                  |      2|none  |     0|acc     |↑  |0.6930|±  |0.0081|
|hellaswag                              |      1|none  |     0|acc     |↑  |0.5271|±  |0.0050|
|                                       |       |none  |     0|acc_norm|↑  |0.7066|±  |0.0045|
|mmlu                                   |      2|none  |      |acc     |↑  |0.2725|±  |0.0038|
| - humanities                          |      2|none  |      |acc     |↑  |0.2759|±  |0.0065|
|  - formal_logic                       |      1|none  |     0|acc     |↑  |0.2222|±  |0.0372|
|  - high_school_european_history       |      1|none  |     0|acc     |↑  |0.3333|±  |0.0368|
|  - high_school_us_history             |      1|none  |     0|acc     |↑  |0.2598|±  |0.0308|
|  - high_school_world_history          |      1|none  |     0|acc     |↑  |0.3207|±  |0.0304|
|  - international_law                  |      1|none  |     0|acc     |↑  |0.3719|±  |0.0441|
|  - jurisprudence                      |      1|none  |     0|acc     |↑  |0.2778|±  |0.0433|
|  - logical_fallacies                  |      1|none  |     0|acc     |↑  |0.3067|±  |0.0362|
