|                 Tasks                 |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|  - abstract_algebra                   |      1|none  |     0|acc     |↑  |0.3000|±  |0.0461|
|  - anatomy                            |      1|none  |     0|acc     |↑  |0.3111|±  |0.0400|
|  - astronomy                          |      1|none  |     0|acc     |↑  |0.2237|±  |0.0339|
|  - college_biology                    |      1|none  |     0|acc     |↑  |0.2361|±  |0.0355|
|  - college_chemistry                  |      1|none  |     0|acc     |↑  |0.2700|±  |0.0446|
|  - college_computer_science           |      1|none  |     0|acc     |↑  |0.2100|±  |0.0409|
|  - college_mathematics                |      1|none  |     0|acc     |↑  |0.2400|±  |0.0429|
|  - college_physics                    |      1|none  |     0|acc     |↑  |0.2451|±  |0.0428|
|  - computer_security                  |      1|none  |     0|acc     |↑  |0.3100|±  |0.0465|
|  - conceptual_physics                 |      1|none  |     0|acc     |↑  |0.2894|±  |0.0296|
|  - electrical_engineering             |      1|none  |     0|acc     |↑  |0.2621|±  |0.0366|
|  - elementary_mathematics             |      1|none  |     0|acc     |↑  |0.2460|±  |0.0222|
|  - high_school_biology                |      1|none  |     0|acc     |↑  |0.2581|±  |0.0249|
|  - high_school_chemistry              |      1|none  |     0|acc     |↑  |0.2956|±  |0.0321|
|  - high_school_computer_science       |      1|none  |     0|acc     |↑  |0.2800|±  |0.0451|
|  - high_school_mathematics            |      1|none  |     0|acc     |↑  |0.2630|±  |0.0268|
|  - high_school_physics                |      1|none  |     0|acc     |↑  |0.2914|±  |0.0371|
|  - high_school_statistics             |      1|none  |     0|acc     |↑  |0.2222|±  |0.0284|
|  - machine_learning                   |      1|none  |     0|acc     |↑  |0.2321|±  |0.0401|
|piqa                                   |      1|none  |     0|acc     |↑  |0.7622|±  |0.0099|
|                                       |       |none  |     0|acc_norm|↑  |0.7720|±  |0.0098|
|winogrande                             |      1|none  |     0|acc     |↑  |0.6709|±  |0.0132|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|------|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |↑  |0.2655|±  |0.0037|
| - humanities     |      2|none  |      |acc   |↑  |0.2670|±  |0.0064|
| - other          |      2|none  |      |acc   |↑  |0.2762|±  |0.0080|
| - social sciences|      2|none  |      |acc   |↑  |0.2567|±  |0.0079|
| - stem           |      2|none  |      |acc   |↑  |0.2613|±  |0.0078|
Perplexity: 7.5194196701049805
