|                 Tasks                 |Version|Filter|n-shot| Metric |   |Value |   |Stderr|
|  - abstract_algebra                   |      1|none  |     0|acc     |↑  |0.3100|±  |0.0465|
|  - anatomy                            |      1|none  |     0|acc     |↑  |0.2667|±  |0.0382|
|  - astronomy                          |      1|none  |     0|acc     |↑  |0.1776|±  |0.0311|
|  - college_biology                    |      1|none  |     0|acc     |↑  |0.2361|±  |0.0355|
|  - college_chemistry                  |      1|none  |     0|acc     |↑  |0.2500|±  |0.0435|
|  - college_computer_science           |      1|none  |     0|acc     |↑  |0.1900|±  |0.0394|
|  - college_mathematics                |      1|none  |     0|acc     |↑  |0.2700|±  |0.0446|
|  - college_physics                    |      1|none  |     0|acc     |↑  |0.2353|±  |0.0422|
|  - computer_security                  |      1|none  |     0|acc     |↑  |0.2500|±  |0.0435|
|  - conceptual_physics                 |      1|none  |     0|acc     |↑  |0.3234|±  |0.0306|
|  - electrical_engineering             |      1|none  |     0|acc     |↑  |0.2276|±  |0.0349|
|  - elementary_mathematics             |      1|none  |     0|acc     |↑  |0.2566|±  |0.0225|
|  - high_school_biology                |      1|none  |     0|acc     |↑  |0.2645|±  |0.0251|
|  - high_school_chemistry              |      1|none  |     0|acc     |↑  |0.2709|±  |0.0313|
|  - high_school_computer_science       |      1|none  |     0|acc     |↑  |0.2500|±  |0.0435|
|  - high_school_mathematics            |      1|none  |     0|acc     |↑  |0.2593|±  |0.0267|
|  - high_school_physics                |      1|none  |     0|acc     |↑  |0.2517|±  |0.0354|
|  - high_school_statistics             |      1|none  |     0|acc     |↑  |0.2083|±  |0.0277|
|  - machine_learning                   |      1|none  |     0|acc     |↑  |0.2946|±  |0.0433|
|piqa                                   |      1|none  |     0|acc     |↑  |0.7650|±  |0.0099|
|                                       |       |none  |     0|acc_norm|↑  |0.7797|±  |0.0097|
|winogrande                             |      1|none  |     0|acc     |↑  |0.6717|±  |0.0132|

|      Groups      |Version|Filter|n-shot|Metric|   |Value |   |Stderr|
|------------------|------:|------|------|------|---|-----:|---|-----:|
|mmlu              |      2|none  |      |acc   |↑  |0.2552|±  |0.0037|
| - humanities     |      2|none  |      |acc   |↑  |0.2489|±  |0.0063|
| - other          |      2|none  |      |acc   |↑  |0.2765|±  |0.0080|
| - social sciences|      2|none  |      |acc   |↑  |0.2444|±  |0.0078|
| - stem           |      2|none  |      |acc   |↑  |0.2544|±  |0.0078|

Perplexity: 7.522017955780029
